"","name","league","primary","secondary","tertiary","quaternary","division","location","mascot","sportslogos_name","logo"
"79","Eastern Michigan Eagles","ncaa","#006633","#000000",NA,NA,"MAC","Eastern Michigan","Eagles","Eastern Michigan Eagles","https://content.sportslogos.net/logos/31/669/thumbs/66988442013.gif"
"80","Eastern Washington Eagles","ncaa","#A10022","#FFFFFF","#6D6E71",NA,"Big Sky","Eastern Washington","Eagles","Eastern Washington Eagles","https://content.sportslogos.net/logos/31/670/thumbs/6878.gif"
"81","Elon Phoenix","ncaa","#73000A","#B59A57",NA,NA,"CAA","Elon","Phoenix","Elon Phoenix","https://content.sportslogos.net/logos/31/671/thumbs/67183312016.gif"
"82","Evansville Purple Aces","ncaa","#52237F","#F36F21",NA,NA,"MVC","Evansville","Purple Aces","Evansville Purple Aces","https://content.sportslogos.net/logos/31/672/thumbs/67264652019.gif"
"83","FGCU","ncaa","#002D72","#007749","#B9975B",NA,"A-Sun","FGCU",NA,"Florida Gulf Coast Eagles","https://content.sportslogos.net/logos/31/4946/thumbs/494681002002.gif"
"84","FIU","ncaa","#081E3F","#B6862C",NA,NA,"C-USA","FIU",NA,"FIU Panthers","https://content.sportslogos.net/logos/31/678/thumbs/67854492010.gif"
"85","Fairfield Stags","ncaa","#C8102E","#A2AAAD","#000000",NA,"MAAC","Fairfield","Stags","Fairfield Stags","https://content.sportslogos.net/logos/31/673/thumbs/fem0t6nf9oeoohyyqbp7erhvg.gif"
"86","Fairleigh Dickinson Knights","ncaa","#A32638","#003F87",NA,NA,"NEC","Fairleigh","Dickinson Knights","Fairleigh Dickinson Knights","https://content.sportslogos.net/logos/31/674/thumbs/67467602019.gif"
"87","Florida A&M","ncaa","#F4811F","#008344",NA,NA,"SWAC","Florida","A&M","Florida A&M",NA
"88","Florida Atlantic Owls","ncaa","#003366","#CC0000","#8A8D8F","#CCCCCC","C-USA","Florida Atlantic","Owls","Florida Atlantic Owls","https://content.sportslogos.net/logos/31/677/thumbs/67725362018.gif"
"89","Florida Gators","ncaa","#0021A5","#FA4616",NA,NA,"SEC","Florida","Gators","Florida Gators","https://content.sportslogos.net/logos/31/675/thumbs/67570762013.gif"
"90","Florida State Seminoles","ncaa","#782F40","#CEB888","#FFFFFF","#000000","ACC","Florida State","Seminoles","Florida State Seminoles","https://content.sportslogos.net/logos/31/679/thumbs/67959842014.gif"
"91","Fordham Rams","ncaa","#860038","#FFFFFF",NA,NA,"A-10","Fordham","Rams","Fordham Rams","https://content.sportslogos.net/logos/31/680/thumbs/68090482009.gif"
"92","Fresno State","ncaa","#DB0032","#002E6D","#007934",NA,"MWC","Fresno State",NA,"Fresno State Bulldogs","https://content.sportslogos.net/logos/31/681/thumbs/68182932020.gif"
"93","Furman Paladins[t]","ncaa","#582C83","#FFFFFF",NA,NA,"Southern","Furman","Paladins[t]","Furman Paladins[t]",NA
"94","Gardner-Webb","ncaa","#A6192E","#000000",NA,NA,"Big South","Gardner-Webb",NA,"Gardner-Webb",NA
