"","name","league","primary","secondary","tertiary","quaternary","division","location","mascot","sportslogos_name","logo"
"333","Utah Tech","ncaa","#BA1C21","#ADA1A2","#NA",NA,"WAC","Utah Tech",NA,"Utah Tech",NA
"334","Utah Utes[ay]","ncaa","#CC0000","#808080","#000000",NA,"Pac 12","Utah","Utes[ay]","Utah Utes[ay]",NA
"335","Utah Valley Wolverines","ncaa","#275D38","#000000","#8E8C89",NA,"WAC","Utah Valley","Wolverines","Utah Valley Wolverines","https://content.sportslogos.net/logos/35/2606/thumbs/260643992008.gif"
"336","VCU","ncaa","#FFB300","#000000",NA,NA,"A-10","VCU",NA,"Virginia Commonwealth Rams","https://content.sportslogos.net/logos/35/899/thumbs/89973792014.gif"
"337","VMI","ncaa","#AE122A","#FFD619",NA,NA,"Southern","VMI",NA,"VMI",NA
"338","Valparaiso Beacons","ncaa","#381E0E","#613318","#FFCC00",NA,"MVC","Valparaiso","Beacons","Valparaiso Beacons","https://content.sportslogos.net/logos/35/6820/thumbs/682018152021.gif"
"339","Vanderbilt Commodores","ncaa","#000000","#866D4B",NA,NA,"SEC","Vanderbilt","Commodores","Vanderbilt Commodores","https://content.sportslogos.net/logos/35/895/thumbs/89595842022.gif"
"340","Vermont","ncaa","#154734","#8B5B29","#FFC72C","#C6AA76","Am. East","Vermont",NA,"Vermont",NA
"341","Villanova Wildcats","ncaa","#00205B","#13B5EA","#8B634B",NA,"Big East","Villanova","Wildcats","Villanova Wildcats","https://content.sportslogos.net/logos/35/897/thumbs/a28cvg370vfg03yepefh.gif"
"342","Virginia Cavaliers","ncaa","#232D4B","#F84C1E","#FFFFFF",NA,"ACC","Virginia","Cavaliers","Virginia Cavaliers","https://content.sportslogos.net/logos/35/898/thumbs/89873152020.gif"
"343","Virginia Tech","ncaa","#630031","#CF4420",NA,NA,"ACC","Virginia Tech",NA,"Virginia Tech",NA
"344","Wagner","ncaa","#004331","#FFFFFF",NA,NA,"NEC","Wagner",NA,"Wagner",NA
"345","Wake Forest Demon Deacons","ncaa","#A67F31","#000000",NA,NA,"ACC","Wake Forest","Demon Deacons","Wake Forest Demon Deacons","https://content.sportslogos.net/logos/35/903/thumbs/90387062019.gif"
"346","Washington Huskies","ncaa","#4B2E83","#B7A57A","#85754D",NA,"Pac 12","Washington","Huskies","Washington Huskies","https://content.sportslogos.net/logos/35/904/thumbs/90432902016.gif"
"347","Washington State Cougars","ncaa","#981E32","#5E6A71",NA,NA,"Pac 12","Washington State","Cougars","Washington State Cougars","https://content.sportslogos.net/logos/35/905/thumbs/2724.gif"
"348","Weber State Wildcats","ncaa","#A1A1A4","#130C0E",NA,NA,"Big Sky","Weber State","Wildcats","Weber State Wildcats","https://content.sportslogos.net/logos/35/906/thumbs/90666342012.gif"
"349","West Virginia Mountaineers","ncaa","#002855","#EAAA00",NA,NA,"Big 12","West Virginia","Mountaineers","West Virginia Mountaineers","https://content.sportslogos.net/logos/35/907/thumbs/90764092016.gif"
"350","Western Carolina Catamounts","ncaa","#592C88","#B9975B",NA,NA,"Southern","Western Carolina","Catamounts","Western Carolina Catamounts","https://content.sportslogos.net/logos/35/2724/thumbs/272498192018.gif"
"351","Western Illinois Leathernecks","ncaa","#663399","#FFCC00",NA,NA,"Summit","Western Illinois","Leathernecks","Western Illinois Leathernecks","https://content.sportslogos.net/logos/35/908/thumbs/90852672019.gif"
"352","Western Kentucky Hilltoppers[az]","ncaa","#C60C30","#1E1E1E","#A2A4A3",NA,"C-USA","Western Kentucky","Hilltoppers[az]","Western Kentucky Hilltoppers[az]",NA
"353","Western Michigan Broncos","ncaa","#6C4023","#B5A167","#AAA8AA","#000000","MAC","Western Michigan","Broncos","Western Michigan Broncos","https://content.sportslogos.net/logos/35/910/thumbs/91099012021.gif"
"354","Wichita State Shockers","ncaa","#FFCD00","#000000",NA,NA,"AAC","Wichita State","Shockers","Wichita State Shockers","https://content.sportslogos.net/logos/35/911/thumbs/91127002010.gif"
"355","William & Mary","ncaa","#115740","#F0B323","#D0D3D4",NA,"CAA","William","& Mary","William & Mary",NA
"356","Winthrop Eagles","ncaa","#872434","#FFC82E",NA,NA,"Big South","Winthrop","Eagles","Winthrop Eagles","https://content.sportslogos.net/logos/35/913/thumbs/91363522020.gif"
"357","Wisconsin","ncaa","#C5050C","#FFFFFF","#9B0000",NA,"Big 10","Wisconsin",NA,"Wisconsin Badgers","https://content.sportslogos.net/logos/35/914/thumbs/91436912017.gif"
"358","Wofford","ncaa","#886E4C","#000000",NA,NA,"Southern","Wofford",NA,"Wofford",NA
"359","Wright State Raiders","ncaa","#026937","#CEA052","#FFE1A5","#DE6328","Horizon","Wright State","Raiders","Wright State Raiders","https://content.sportslogos.net/logos/35/917/thumbs/91757032017.gif"
"360","Wyoming Cowboys[ai]","ncaa","#FFC425","#492F24",NA,NA,"MWC","Wyoming","Cowboys[ai]","Wyoming Cowboys[ai]",NA
"361","Xavier Musketeers","ncaa","#0C2340","#9EA2A2","#0099CC",NA,"Big East","Xavier","Musketeers","Xavier Musketeers","https://content.sportslogos.net/logos/35/919/thumbs/xgodx5ewp41q2fp38jsy.gif"
"362","Yale Bulldogs","ncaa","#00356B","#FFFFFF",NA,NA,"Ivy","Yale","Bulldogs","Yale Bulldogs","https://content.sportslogos.net/logos/35/920/thumbs/92018352019.gif"
"363","Youngstown State Penguins","ncaa","#C8102E","#F3D54E",NA,NA,"Horizon","Youngstown State","Penguins","Youngstown State Penguins","https://content.sportslogos.net/logos/35/921/thumbs/92174472006.gif"
